date,high,low,open,volumefrom,volumeto,close,replyCount,retweetCount,likeCount,quoteCount,followersCount,listedCount,isReplied,isMentioned,charCount,mentionsCount,topics,probs,day,year,month,quarter,day_of_week,day_of_year,is_month_end,is_month_start,is_quarter_end,is_quarter_start,is_year_end,is_year_start,target,lag1,lag7,lag14,lag30,lag60,lag90,lag365
2018-02-24,10528.0,9396.54,10175.51,125269.68,1244484468.57,9705.73,335,886,14277,45,134459704,119975,1.0,1.0,173.0,2.0,3.0,0.40141904,24,2018,2,1,5,55,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,0.0,1.0,
2018-02-25,9873.79,9329.44,9705.73,82430.45,793093192.66,9610.11,249,702,9264,141,268919348,239950,2.0,2.0,317.0,3.0,12.0,0.5105418,25,2018,2,1,6,56,False,False,False,False,False,False,1,0.0,1.0,1.0,1.0,0.0,1.0,
2018-02-26,10457.51,9411.82,9610.11,117416.47,1181729273.47,10326.5,,,,,,,,,,,,,26,2018,2,1,0,57,False,False,False,False,False,False,1,1.0,1.0,0.0,1.0,0.0,0.0,
2018-02-27,10879.38,10154.24,10326.5,99772.39,1060840699.02,10594.76,3569,14596,92077,1680,806758242,719850,5.0,1.0,939.0,3.0,56.0,1.9476986,27,2018,2,1,1,58,False,False,False,False,False,False,0,1.0,0.0,1.0,0.0,0.0,1.0,
2018-02-28,11067.76,10303.14,10594.76,105434.79,1126074675.67,10334.44,53,46,711,12,134459691,119975,1.0,1.0,68.0,1.0,1.0,0.40053305,28,2018,2,1,2,59,True,False,False,False,False,False,1,0.0,0.0,1.0,0.0,1.0,1.0,
2018-03-01,11090.3,10247.56,10334.44,88432.44,952472120.03,10929.37,,,,,,,,,,,,,1,2018,3,1,3,60,False,True,False,False,False,False,1,1.0,1.0,1.0,1.0,0.0,1.0,
2018-03-02,11191.94,10801.45,10929.37,77195.49,852908489.64,11043.12,,,,,,,,,,,,,2,2018,3,1,4,61,False,False,False,False,False,False,1,1.0,0.0,1.0,0.0,1.0,1.0,
2018-03-03,11530.66,11043.12,11043.12,71279.36,812200126.22,11465.36,1275,2458,32439,248,134459709,119975,0.0,0.0,116.0,0.0,9.0,0.3522321,3,2018,3,1,5,62,False,False,False,False,False,False,1,1.0,0.0,0.0,0.0,1.0,1.0,
2018-03-04,11539.79,11084.01,11465.36,61016.39,690727335.55,11504.42,297,630,16057,59,537838676,479900,4.0,4.0,463.0,9.0,5.0,2.3613868,4,2018,3,1,6,63,False,False,False,False,False,False,0,1.0,1.0,1.0,1.0,1.0,1.0,
2018-03-05,11694.15,11431.55,11503.94,68323.51,791471905.1,11440.73,1409,8575,59823,487,134459669,119975,0.0,0.0,182.0,0.0,2.0,0.3785155,5,2018,3,1,0,64,False,False,False,False,False,False,0,0.0,1.0,1.0,0.0,1.0,1.0,
2018-03-06,11441.65,10589.28,11440.33,109876.55,1210081181.36,10735.45,606,2959,32648,216,268919418,239950,2.0,2.0,350.0,2.0,15.0,0.6953003,6,2018,3,1,1,65,False,False,False,False,False,False,0,0.0,0.0,0.0,0.0,1.0,1.0,
2018-03-07,10913.7,9470.73,10735.45,183060.08,1858869115.0,9928.56,3760,16658,160071,1946,672298460,599875,3.0,3.0,395.0,4.0,26.0,2.2354522,7,2018,3,1,2,66,False,False,False,False,False,False,0,0.0,1.0,0.0,1.0,0.0,0.0,
2018-03-08,10119.21,9086.85,9928.56,154879.22,1492236089.97,9316.72,1834,7102,54366,804,806758224,719850,6.0,6.0,924.0,6.0,22.0,1.7390699,8,2018,3,1,3,67,False,False,False,False,False,False,0,0.0,1.0,1.0,0.0,0.0,0.0,
2018-03-09,9433.38,8393.45,9316.77,233598.15,2081621422.7,9252.76,6318,46429,279007,6751,1344596740,1199750,8.0,5.0,1281.0,5.0,38.0,4.0554113,9,2018,3,1,4,68,False,False,False,False,False,False,0,0.0,1.0,0.0,1.0,0.0,1.0,
