,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
170,1525392000,804.63,759.67,777.78,546215.76,427563922.79,784.21,direct,
171,1525478400,827.44,780.08,784.19,389912.01,315600160.75,816.58,direct,
172,1525564800,834.3,753.51,816.59,474447.3,374541870.07,790.39,direct,
173,1525651200,794.86,690.91,790.39,1131598.73,828032480.2,752.4,direct,
174,1525737600,775.38,720.36,752.39,510303.7,380893335.71,747.79,direct,
175,1525824000,759.91,709.78,747.79,464189.13,341691727.41,751.27,direct,
176,1525910400,767.22,722.65,751.27,383612.95,287536989.76,723.61,direct,
177,1525996800,735.97,665.49,723.63,748412.09,518848404.01,677.8,direct,
178,1526083200,690.88,638.47,677.8,487345.93,324590855.24,683.64,direct,
179,1526169600,740.02,669.96,683.64,385804.48,274037817.61,729.34,direct,
180,1526256000,741.82,685.75,729.34,632807.6,453297981.45,727.41,direct,
181,1526342400,738.53,695.3,727.41,398394.01,287313625.77,705.64,direct,
182,1526428800,710.26,676.6,705.64,362472.35,251185347.62,706.72,direct,
183,1526515200,718.31,661.81,706.71,352700.81,244822300.73,668.38,direct,
184,1526601600,694.35,657.7,668.41,352343.1,238310952.16,693.57,direct,
185,1526688000,716.86,683.0,693.57,231151.7,161222563.27,696.05,direct,
186,1526774400,722.71,687.86,696.05,232101.64,165135550.67,715.15,direct,
187,1526860800,710.37,694.96,716.45,421289.2,294835584.77,699.84,multiply,BTC
188,1526947200,698.46,638.35,696.73,427356.07,287275714.36,640.84,direct,
189,1527033600,649.59,564.32,641.12,910256.61,549177930.28,577.01,direct,
190,1527120000,609.0,544.19,577.01,734681.33,426679791.16,602.59,direct,
191,1527206400,615.92,568.65,602.66,474341.89,281427114.77,584.77,direct,
192,1527292800,607.81,578.43,584.77,247238.21,146794781.23,585.76,direct,
193,1527379200,590.88,555.2,585.76,390537.58,223422108.46,569.64,direct,
194,1527465600,574.52,500.81,569.64,729475.2,387811928.1,512.03,direct,
195,1527552000,572.47,510.91,512.03,640564.29,348565933.16,566.59,direct,
196,1527638400,585.23,542.08,566.7,454107.08,254739325.61,557.12,direct,
197,1527724800,585.92,553.42,557.12,412555.59,236501539.67,577.23,direct,
198,1527811200,589.26,564.46,577.23,351962.04,202265552.5,579.01,direct,
199,1527897600,599.53,574.36,579.01,291012.56,171480785.55,590.53,direct,
200,1527984000,628.06,590.3,590.53,256805.13,157840093.86,619.04,direct,
201,1528070400,625.95,580.07,619.03,336233.12,201486274.14,591.31,direct,
202,1528156800,612.99,576.47,591.31,325957.03,193989055.5,608.23,direct,
203,1528243200,611.67,593.1,608.2,263380.18,158835369.59,606.3,direct,
204,1528329600,616.0,598.6,606.3,281044.33,170556871.85,604.44,direct,
205,1528416000,604.79,596.7,605.56,427639.18,256868828.86,600.67,multiply,BTC
206,1528502400,596.51,590.65,600.67,420404.18,250081141.71,594.86,multiply,BTC
